acceleration_rms_g,normalized_frequency,transverse_peak,longitudinal_minimum,figure
0.2,0.8231814788683266,0.058853591387922816,-0.003640575094608005,4
0.2,0.848887538640635,0.06863120064623555,-0.004837183897465274,4
0.2,0.8745935845027772,0.0852387939135166,-0.006209152407294944,4
0.2,0.9003017515931107,0.10837468471290332,-0.009323492471043958,4
0.2,0.9260088580693484,0.14330602218961735,-0.015224683765916118,4
0.2,0.9517159539394452,0.20282728037059636,-0.029786672324465222,4
0.2,0.9774220104077285,0.3113206614022653,-0.0712781665926309,4
0.2,0.9928458500478329,0.4947015776719036,-0.15806157689134012,4
0.2,1.0031291062778251,0.6038082230171944,-0.2533693242772176,4
0.2,1.0082707429999171,0.6608664831269885,-0.3158190514413158,4
0.2,1.010327377414903,0.6823900822631431,-0.3470244262806474,4
0.2,1.012382975732101,0.7001945300779768,-0.37099557982322656,4
0.2,1.0144396101470867,0.720818064920292,-0.40119923328687646,4
0.2,1.01649626907838,0.7416690515834418,-0.43282166722036347,4
0.2,1.0185529140995069,0.7622134060897804,-0.47713906816005863,4
0.2,1.0206085018105635,0.7864324007979029,-0.5271471819732766,4
0.2,1.0309244496373067,0.22893057913912188,-0.027194669543031787,4
0.2,1.0330190508991888,0.17999312550487165,-0.01827662087548358,4
0.2,1.0351125564245272,0.16535880908026837,-0.014866090899913368,4
0.2,1.0372060864661727,0.15521027382581332,-0.013256320751444185,4
0.2,1.03930281611926,0.15442890585073935,-0.012932807622333073,4
0.2,1.041395274940669,0.13905273743385144,-0.011069683818535824,4
0.2,1.0424425596623985,0.13132758535419323,-0.010005559488672487,4
0.2,1.047678987269137,0.12171812921413139,-0.00924156179665932,4
0.2,1.052913332074158,0.10864669711007442,-0.007304341793050048,4
0.2,1.0633862646955452,0.09882952241217298,-0.006528650855406411,4
0.2,1.073856032827939,0.08447221352148888,-0.005102113865967578,4
0.2,1.1000341144845291,0.06519889876193141,-0.0038508586285302517,4
0.2,1.1262132323780092,0.05567351918099542,-0.003640458162151774,4
0.2,1.1523902570027325,0.047434065843485904,-0.0030986321371184516,4
0.5,0.8231814788683266,0.14472708089483832,-0.013784721951545396,7
0.5,0.848887538640635,0.1642680118916127,-0.017439693525844853,7
0.5,0.8745935845027772,0.19752496194574037,-0.024529115601561347,7
0.5,0.9003017515931107,0.2306939888007825,-0.032594114404396614,7
0.5,0.9260088580693484,0.29371294174538537,-0.05288022228285375,7
0.5,0.9517159539394452,0.3812294410832138,-0.09132089469962298,7
0.5,0.9774220104077285,0.5238244393522258,-0.17947453937001298,7
0.5,1.0031291062778251,0.711655868598779,-0.3839190828048175,7
0.5,1.0185529459179299,0.8105034812091638,-0.5922924868172681,7
0.5,1.023693543238208,0.828846447627997,-0.6706171244661481,7
0.5,1.0288351627461085,0.8392654016716398,-0.7576282330406312,7
0.5,1.0308928822914973,0.8406282112574666,-0.7857787973784877,7
0.5,1.0319201511430482,0.8420349329860367,-0.8091385425773006,7
0.5,1.0329495307557512,0.8429636162811786,-0.8159206196301595,7
0.5,1.0350051256298216,0.845101249058947,-0.8587178644809593,7
0.5,1.0370617740940755,0.8482335130263716,-0.8996107822775082,7
0.5,1.0391205403433936,0.8519647592827665,-0.9290576922006113,7
0.5,1.0411750674403546,0.8553388065524764,-0.9697768819150179,7
0.5,1.0432306552905128,0.8583062145216154,-1.0067341904661147,7
0.5,1.0452873142218062,0.8626803936761238,-1.051208579494518,7
0.5,1.0329494990764299,0.6358989322826512,-0.24984776297253206,7
0.5,1.0350050728773201,0.5330068085527293,-0.16361850426803123,7
0.5,1.037061721341574,0.475378646752062,-0.12881943304508578,7
0.5,1.0391205086640722,0.43385697093588754,-0.10572695513695006,7
0.5,1.0411750146878531,0.40748550641015074,-0.09387998284992008,7
0.5,1.0432306130050508,0.3805316056424713,-0.08036260168939423,7
0.5,1.0452872614693045,0.34496106650840497,-0.0666982198439788,7
0.5,1.0473449671045272,0.33767998153612816,-0.0637982972420667,7
0.5,1.0494016121256542,0.3208976409106645,-0.05658858183316531,7
0.5,1.0545421849296253,0.2861459415200822,-0.044601344165353475,7
0.5,1.059683821651717,0.2548837490452089,-0.0354338469076958,7
0.5,1.0802492807997222,0.1993272776229963,-0.021963238692362032,7
0.5,1.1059574268168753,0.15367321144979862,-0.013697791091981205,7
0.5,1.131663486450082,0.13175829912571368,-0.010470457873724137,7
